|Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
4159||||||||1|26/04/2021|Vente|112000.0||||B081|GRANGES BESSON|1250|JASSERON|1|195||A|1624||||||||||||0||||||AB||1453.0
4160||||||||1|27/04/2021|Vente|67440.0|56.0||RUE|2730|DE MONTHOLON|1000|BOURG-EN-BRESSE|1|53||AK|173||9.0||||||||||1|3.0|Dépendance||0.0|0.0|||
4161||||||||1|27/04/2021|Vente|67440.0|56.0||RUE|2730|DE MONTHOLON|1000|BOURG-EN-BRESSE|1|53||AK|173||9.0||||||||||1|2.0|Appartement||67.0|3.0|||
4162||||||||1|27/04/2021|Vente|67440.0|56.0||RUE|2730|DE MONTHOLON|1000|BOURG-EN-BRESSE|1|53||AK|173||134.0||||||||||1|3.0|Dépendance||0.0|0.0|||
4163||||||||1|27/04/2021|Vente|67440.0|56.0||RUE|2730|DE MONTHOLON|1000|BOURG-EN-BRESSE|1|53||AK|173||25.0|67.45|||||||||1|2.0|Appartement||67.0|3.0|AG||34.0
4164||||||||1|27/04/2021|Vente|67440.0|56.0||RUE|2730|DE MONTHOLON|1000|BOURG-EN-BRESSE|1|53||AK|173||25.0|67.45|||||||||1|3.0|Dépendance||0.0|0.0|AG||34.0
4165||||||||2|28/04/2021|Vente|2940.0|285.0||RTE|0450|NATIONALE 75|1250|MONTAGNAT|1|254||AD|107||||||||||||0||||||S||49.0
4166||||||||1|28/04/2021|Vente|89000.0|6.0||RUE|0690|DES CERISIERS|1000|BOURG-EN-BRESSE|1|53||AL|200||10.0||11.0||5.0|87.52|||||3|3.0|Dépendance||0.0|0.0|||
4167||||||||1|28/04/2021|Vente|89000.0|6.0||RUE|0690|DES CERISIERS|1000|BOURG-EN-BRESSE|1|53||AL|200||10.0||11.0||5.0|87.52|||||3|2.0|Appartement||88.0|3.0|||
4168||||||||1|28/04/2021|Vente|89000.0|6.0||RUE|0690|DES CERISIERS|1000|BOURG-EN-BRESSE|1|53||AL|200||18.0||||||||||1|3.0|Dépendance||0.0|0.0|||
4169||||||||1|28/04/2021|Vente|89000.0|6.0||RUE|0690|DES CERISIERS|1000|BOURG-EN-BRESSE|1|53||AL|200||10.0||11.0||5.0|87.52|||||3|3.0|Dépendance||0.0|0.0|||
4170||||||||2|03/05/2021|Vente|6000.0||||B164|NOBLENS|1250|VILLEREVERSURE|1|447||AE|199||||||||||||0||||||P||221.0
